Time of test;test type;file size[kB];time[ms];transfer media;test name
Tue Apr 24 20:56:12 CEST 2018;server write;10000;34;local net;a
Tue Apr 24 20:56:12 CEST 2018;server read;10000;35;local net;a
Tue Apr 24 20:56:12 CEST 2018;memory write;10000;39;SSD;a
Tue Apr 24 20:56:12 CEST 2018;memory read;10000;33;SSD;a
Tue Apr 24 20:56:13 CEST 2018;server write;10000;105;local net;a
Tue Apr 24 20:56:13 CEST 2018;server read;10000;30;local net;a
Tue Apr 24 20:56:13 CEST 2018;memory write;10000;21;SSD;a
Tue Apr 24 20:56:13 CEST 2018;memory read;10000;9;SSD;a
Tue Apr 24 20:56:13 CEST 2018;server write;10000;23;local net;a
Tue Apr 24 20:56:13 CEST 2018;server read;10000;45;local net;a
Tue Apr 24 20:56:13 CEST 2018;memory write;10000;39;SSD;a
Tue Apr 24 20:56:13 CEST 2018;memory read;10000;13;SSD;a
Tue Apr 24 20:56:13 CEST 2018;server write;10000;26;local net;a
Tue Apr 24 20:56:13 CEST 2018;server read;10000;24;local net;a
Tue Apr 24 20:56:13 CEST 2018;memory write;10000;19;SSD;a
Tue Apr 24 20:56:13 CEST 2018;memory read;10000;4;SSD;a
Tue Apr 24 20:56:13 CEST 2018;server write;10000;23;local net;a
Tue Apr 24 20:56:13 CEST 2018;server read;10000;34;local net;a
Tue Apr 24 20:56:13 CEST 2018;memory write;10000;24;SSD;a
Tue Apr 24 20:56:13 CEST 2018;memory read;10000;9;SSD;a
Tue Apr 24 20:56:13 CEST 2018;server write;10000;38;local net;a
Tue Apr 24 20:56:13 CEST 2018;server read;10000;0;local net;a
Tue Apr 24 20:56:13 CEST 2018;memory write;10000;2;SSD;a
Tue Apr 24 20:56:13 CEST 2018;memory read;10000;0;SSD;a
Tue Apr 24 21:04:11 CEST 2018;server send;102400;1;local net;test
Tue Apr 24 21:05:14 CEST 2018;server send;102400;4;local net;test
Tue Apr 24 21:05:44 CEST 2018;server receive;104857600;2;local net;test
Tue Apr 24 21:06:50 CEST 2018;server write;1000;8;local net;a
Tue Apr 24 21:06:50 CEST 2018;server read;1000;4;local net;a
Tue Apr 24 21:06:51 CEST 2018;memory write;1000;23;SSD;a
Tue Apr 24 21:06:51 CEST 2018;memory read;1000;4;SSD;a
Tue Apr 24 21:06:51 CEST 2018;server write;1000;4;local net;a
Tue Apr 24 21:06:51 CEST 2018;server read;1000;3;local net;a
Tue Apr 24 21:06:51 CEST 2018;memory write;1000;6;SSD;a
Tue Apr 24 21:06:51 CEST 2018;memory read;1000;2;SSD;a
Tue Apr 24 21:06:51 CEST 2018;server write;1000;4;local net;a
Tue Apr 24 21:06:51 CEST 2018;server read;1000;3;local net;a
Tue Apr 24 21:06:51 CEST 2018;memory write;1000;2;SSD;a
Tue Apr 24 21:06:51 CEST 2018;memory read;1000;2;SSD;a
Tue Apr 24 21:06:51 CEST 2018;server write;1000;4;local net;a
Tue Apr 24 21:06:51 CEST 2018;server read;1000;4;local net;a
Tue Apr 24 21:06:51 CEST 2018;memory write;1000;3;SSD;a
Tue Apr 24 21:06:51 CEST 2018;memory read;1000;1;SSD;a
Tue Apr 24 21:06:51 CEST 2018;server write;1000;3;local net;a
Tue Apr 24 21:06:51 CEST 2018;server read;1000;3;local net;a
Tue Apr 24 21:06:51 CEST 2018;memory write;1000;3;SSD;a
Tue Apr 24 21:06:51 CEST 2018;memory read;1000;1;SSD;a
Tue Apr 24 21:06:51 CEST 2018;server write;1000;2;local net;a
